@relation pendigits-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P40.0-V

@attribute input1 numeric
@attribute input2 numeric
@attribute input3 numeric
@attribute input4 numeric
@attribute input5 numeric
@attribute input6 numeric
@attribute input7 numeric
@attribute input8 numeric
@attribute input9 numeric
@attribute input10 numeric
@attribute input11 numeric
@attribute input12 numeric
@attribute input13 numeric
@attribute input14 numeric
@attribute input15 numeric
@attribute input16 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data

32,82,67,100,100,85,69,58,70,36,88,10,44,0,0,7,3
98,98,34,96,8,59,63,27,34,0,0,32,42,70,100,100,8
40,100,11,87,0,57,11,29,66,40,100,58,82,29,78,0,4
100,100,47,96,15,64,0,29,32,0,85,16,57,46,9,30,6
100,89,34,100,0,75,76,78,83,62,90,35,85,8,5,0,9
96,90,2,68,78,32,85,0,15,26,72,67,100,100,0,71,8
0,84,43,100,55,78,26,51,70,45,100,20,66,0,14,1,3
36,86,0,75,35,34,12,0,11,35,75,68,100,100,12,89,8
46,100,24,84,0,56,13,34,67,29,93,53,91,31,100,0,4
22,53,76,70,100,100,39,99,0,71,53,61,67,31,40,0,9
32,95,100,100,55,95,0,71,7,45,73,33,78,7,11,0,5
100,83,62,100,22,73,0,44,3,13,70,0,95,22,8,21,6
66,83,100,100,98,98,59,88,29,67,49,38,38,10,0,0,5
27,60,44,100,42,90,44,45,47,3,0,0,50,2,100,6,1
40,100,7,86,0,63,14,41,81,37,91,45,84,22,100,0,4
0,69,22,93,55,100,65,73,46,41,33,8,65,0,100,4,2
81,100,29,89,0,55,3,15,51,0,94,24,100,64,68,97,0
97,100,51,77,19,48,0,18,44,0,100,16,65,31,12,14,6
0,55,57,76,100,100,73,83,71,57,79,32,89,6,93,0,1
13,63,34,98,45,100,44,61,37,24,0,0,48,5,100,7,1
40,64,67,82,100,100,81,80,60,60,38,40,15,20,0,0,1
24,78,59,100,100,91,71,59,61,47,88,19,48,0,0,13,3
